,Algorithm,Heuristic,True_result,Number of queens,Runtime,Cost,Heuristic_score,Depth,Effective_Branching,Nodes_Processed
1,astar,HeuristicTwo,True,4,4.114618301391602,100,0,5,3.3002265382047016,1292
12,astar,HeuristicTwo,True,5,3.680048942565918,29,0,5,2.783399161995236,465
2,astar,HeuristicTwo,True,4,0.9505982398986816,100,0,4,3.1476881267968886,309
3,astar,HeuristicTwo,True,4,0.9640684127807617,217,0,4,3.1717650296502993,321
6,astar,HeuristicTwo,True,4,0.09407734870910645,18,0,2,3.1072325059538586,30
10,astar,HeuristicTwo,True,5,0.07582640647888184,10,0,2,2.2239800905693152,11
14,astar,HeuristicTwo,True,5,0.07801651954650879,5,0,2,2.2239800905693152,11
4,astar,HeuristicTwo,True,4,0.014377832412719727,2,0,1,2.23606797749979,5
5,astar,HeuristicTwo,True,4,0.3125157356262207,64,0,1,10.295630140987,106
7,astar,HeuristicTwo,True,4,0.014233112335205078,8,0,1,2.23606797749979,5
8,astar,HeuristicTwo,True,4,0.006340742111206055,1,0,1,1.4142135623730951,2
9,astar,HeuristicTwo,True,4,0.01174306869506836,12,0,1,2.0,4
11,astar,HeuristicTwo,True,5,0.05688786506652832,81,0,1,2.8284271247461903,8
13,astar,HeuristicTwo,True,5,1073.1876454353333,81,0,1,335.70224902434,112696
0,astar,HeuristicTwo,True,4,3.933906555175781e-05,0,0,0,0.0,0
